Round;Player 1 Name;Player 1 Country;Player 1 Score;Player 2 Name;Player 2 Country;Player 2 Score;Winner Name;Country Name
1;Diego Arredondo;Estados Unidos;4;Matias Boho;Guinea Ecuatorial;3;Diego Arredondo;Estados Unidos
1;Andrii Mostavchuk;Ucrania;1;Funtxi Ursua Zhang;China;4;Funtxi Ursua Zhang;China
1;Jan Franquesa;España;2;Tsetevan Mladenov;Bulgaria;4;Tsetevan Mladenov;Bulgaria
1;Felipe Pávez;Chile;4;Yana Rudenko;Rusia;0;Felipe Pávez;Chile
1;Eric Guzmán González;Cuba;2;Gerelt-Od Tserennorov;Mongolia;4;Gerelt-Od Tserennorov;Mongolia
1;Marco Fiorillo;Italia;4;Elián Barrado;Argentina;1;Marco Fiorillo;Italia
1;Israel Quispe;Bolivia;3;Pol Jorquera;Francia;4;Pol Jorquera;Francia
1;Raúl Eduardo Giménez;Paraguay;2;Nicklas Hallback;Suecia;4;Nicklas Hallback;Suecia
1;Pape Ndour;Senegal;2;Isaac «Suko» Leal;Uruguay;4;Isaac «Suko» Leal;Uruguay
1;Gor Khechoyan;Armenia;1;Tarik;Colombia;4;Tarik;Colombia
1;Tamaz Tsagarevishvili;Georgia;4;Diego Mendez;Brasil;1;Tamaz Tsagarevishvili;Georgia
1;Raul David Carrero;Venezuela;1;Javi Damas;Países Bajos;4;Javi Damas;Países Bajos
1;Ramón Cierco;Andorra;0;Ricardo Ferreira;Portugal;4;Ricardo Ferreira;Portugal
1;Jan Spieb;Alemania;4;Moses;Reino Unido;3;Jan Spieb;Alemania
1;Yahya El Hajouji;Marruecos;2;Francesco de la Cruz;Perú;4;Francesco de la Cruz;Perú
1;Walid Seddiki;Argelia;4;Luis «Pollo» Forzan;México;0;Walid Seddiki;Argelia
2;Diego Arredondo;Estados Unidos;4;Funtxi Ursua Zhang;China;3;Diego Arredondo;Estados Unidos
2;Tsetevan Mladenov;Bulgaria;4;Felipe Pávez;Chile;2;Tsetevan Mladenov;Bulgaria
2;Gerelt-Od Tserennorov;Mongolia;2;Marco Fiorillo;Italia;4;Marco Fiorillo;Italia
2;Pol Jorquera;Francia;0;Nicklas Hallback;Suecia;4;Nicklas Hallback;Suecia
2;Isaac «Suko» Leal;Uruguay;4;Tarik;Colombia;1;Isaac «Suko» Leal;Uruguay
2;Tamaz Tsagarevishvili;Georgia;4;Javi Damas;Países Bajos;3;Tamaz Tsagarevishvili;Georgia
2;Ricardo Ferreira;Portugal;4;Jan Spieb;Alemania;2;Ricardo Ferreira;Portugal
2;Francesco de la Cruz;Perú;4;Walid Seddiki;Argelia;3;Francesco de la Cruz;Perú
3;Diego Arredondo;Estados Unidos;2;Tsetevan Mladenov;Bulgaria;4;Tsetevan Mladenov;Bulgaria
3;Marco Fiorillo;Italia;4;Nicklas Hallback;Suecia;2;Marco Fiorillo;Italia
3;Isaac «Suko» Leal;Uruguay;4;Tamaz Tsagarevishvili;Georgia;1;Isaac «Suko» Leal;Uruguay
3;Ricardo Ferreira;Portugal;0;Francesco de la Cruz;Perú;4;Francesco de la Cruz;Perú
S;Tsetevan Mladenov;Bulgaria;1;Marco Fiorillo;Italia;4;Marco Fiorillo;Italia
S;Isaac «Suko» Leal;Uruguay;4;Francesco de la Cruz;Perú;1;Isaac «Suko» Leal;Uruguay
F;Marco Fiorillo;Italia;4;Isaac «Suko» Leal;Uruguay;3;Marco Fiorillo;Italia
